[rosmaster.master][INFO] 2021-10-22 12:22:54,766: +PARAM [/ss42/image_color/compressedDepth/depth_quantization] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,770: +PARAM [/ss42/image_color/compressedDepth/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,775: +PARAM [/ss42/image_color/compressedDepth/depth_max] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,779: +PARAM [/ss42/image_color/compressedDepth/depth_quantization] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,783: +PARAM [/ss42/image_color/compressedDepth/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,788: +PUB [/ss42/image_color/compressed] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,792: +SERVICE [/ss42/image_color/compressed/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,797: +PUB [/ss42/image_color/compressed/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,801: +PUB [/ss42/image_color/compressed/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,817: +PARAM [/ss42/image_color/compressed/format] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,821: +PARAM [/ss42/image_color/compressed/jpeg_quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,826: +PARAM [/ss42/image_color/compressed/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,831: +PARAM [/ss42/image_color/compressed/format] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,836: +PARAM [/ss42/image_color/compressed/jpeg_quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,841: +PARAM [/ss42/image_color/compressed/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,846: +PUB [/ss42/image_color] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,851: +PUB [/ss42/image_color/theora] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,860: +SERVICE [/ss42/image_color/theora/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,865: +PUB [/rosout] /ss42/decoder_node http://ss42.local:41896/
[rosmaster.master][INFO] 2021-10-22 12:22:54,874: +PUB [/ss42/image_color/theora/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,887: +PUB [/ss42/image_color/theora/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:54,890: +SERVICE [/ss42/decoder_node/get_loggers] /ss42/decoder_node http://ss42.local:41896/
[rosmaster.master][INFO] 2021-10-22 12:22:54,892: publisherUpdate[/rosout] -> http://ss42.local:45347/ ['http://ss42.local:44455/', 'http://ss42.local:41896/']
[rosmaster.master][INFO] 2021-10-22 12:22:54,898: publisherUpdate[/rosout] -> http://ss42.local:45347/ ['http://ss42.local:44455/', 'http://ss42.local:41896/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-10-22 12:22:54,900: +SERVICE [/ss42/decoder_node/set_logger_level] /ss42/decoder_node http://ss42.local:41896/
[rosmaster.master][INFO] 2021-10-22 12:22:54,921: +PARAM [/ss42/decoder_node/publish_freq] by /ss42/decoder_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,933: +PUB [/ss42/camera_node/image/raw] /ss42/decoder_node http://ss42.local:41896/
[rosmaster.master][INFO] 2021-10-22 12:22:54,957: +PARAM [/ss42/image_color/theora/optimize_for] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,963: +SUB [/ss42/camera_node/image/compressed] /ss42/decoder_node http://ss42.local:41896/
[rosmaster.master][INFO] 2021-10-22 12:22:54,970: +PARAM [/ss42/image_color/theora/target_bitrate] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,981: +PARAM [/ss42/image_color/theora/quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,986: +SUB [/ss42/decoder_node/switch] /ss42/decoder_node http://ss42.local:41896/
[rosmaster.master][INFO] 2021-10-22 12:22:54,992: +PARAM [/ss42/image_color/theora/keyframe_frequency] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:54,997: +PARAM [/ss42/image_color/theora/optimize_for] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,002: +PARAM [/ss42/image_color/theora/target_bitrate] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,007: +PARAM [/ss42/image_color/theora/quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,012: +PARAM [/ss42/image_color/theora/keyframe_frequency] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,029: +SERVICE [/ss42/image_proc_node_rectify_mono/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,034: +PUB [/ss42/image_proc_node_rectify_mono/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,039: +PUB [/ss42/image_proc_node_rectify_mono/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,049: +PARAM [/ss42/image_proc_node_rectify_mono/interpolation] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,054: +PARAM [/ss42/image_proc_node_rectify_mono/interpolation] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,065: +PUB [/ss42/image_rect/compressedDepth] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,070: +SERVICE [/ss42/image_rect/compressedDepth/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,076: +PUB [/ss42/image_rect/compressedDepth/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,081: +PUB [/ss42/image_rect/compressedDepth/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,098: +PARAM [/ss42/image_rect/compressedDepth/depth_max] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,103: +PARAM [/ss42/image_rect/compressedDepth/depth_quantization] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,108: +PARAM [/ss42/image_rect/compressedDepth/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,114: +PARAM [/ss42/image_rect/compressedDepth/depth_max] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,119: +PARAM [/ss42/image_rect/compressedDepth/depth_quantization] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,124: +PARAM [/ss42/image_rect/compressedDepth/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,129: +PUB [/ss42/image_rect/compressed] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,134: +SERVICE [/ss42/image_rect/compressed/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,139: +PUB [/ss42/image_rect/compressed/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,144: +PUB [/ss42/image_rect/compressed/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,160: +PARAM [/ss42/image_rect/compressed/format] by /ss42/image_proc_node
